"Symbol","Description","Category2","Category3","GICS Sector","Market cap","Dividend yield","Country","Action"
"PBCT","Peoples United Financial Inc","Common stocks","Mid cap","Financials","$7,637,464,084","2.99%","USA","Analyze"
"TPX","Tempur Sealy International Inc","Common stocks","Mid cap","Consumer Discretionary","$7,635,803,491","0.36%","USA","Analyze"
"AN","AutoNation Inc","Common stocks","Mid cap","Consumer Discretionary","$7,634,313,923","0.00%","USA","Analyze"
"FCNCA","First Citizens Bancshares Inc Class A","Common stocks","Mid cap","Financials","$7,633,600,447","0.21%","USA","Analyze"
"AIRC","Apartment Income REIT Corp.","REITs","Mid cap","Real Estate","$7,606,045,189","1.76%","USA","Analyze"
"KNX","Knight Transportation Inc","Common stocks","Mid cap","Industrials","$7,600,249,415","0.74%","USA","Analyze"
"SKLZ","Skillz Inc. Class A","Common stocks","Mid cap","Communication Services","$7,558,502,040","0.00%","USA","Analyze"
"SBNY","Signature Bank","Common stocks","Mid cap","Financials","$7,554,978,840","0.65%","USA","Analyze"
"VOYA","Voya Financial Inc","Common stocks","Mid cap","Financials","$7,530,884,691","1.01%","USA","Analyze"
"QS","QuantumScape Corporation Class A","Common stocks","Mid cap","Consumer Discretionary","$7,519,136,202","0.00%","USA","Analyze"
"RNR","Renaissancere Holding Ltd","Common stocks","Mid cap","Financials","$7,514,157,448","0.93%","USA","Analyze"
"XEC","Cimarex Energy","Common stocks","Mid cap","Energy","$7,510,913,048","1.27%","USA","Analyze"
"HRC","Hill-Rom Holdings Inc","Common stocks","Mid cap","Health Care","$7,503,302,939","0.81%","USA","Analyze"
"SITE","Siteone Landscape Supply Inc","Common stocks","Mid cap","Industrials","$7,466,599,763","0.00%","USA","Analyze"
"OLN","Olin Corp","Common stocks","Mid cap","Materials","$7,439,577,438","1.70%","USA","Analyze"
"CACC","Credit Acceptance Corp","Common stocks","Mid cap","Financials","$7,378,581,150","0.00%","USA","Analyze"
"RGLD","Royal Gold Inc","Common stocks","Mid cap","Materials","$7,374,170,150","1.03%","USA","Analyze"
"NYT","New York Times Class A","Common stocks","Mid cap","Communication Services","$7,371,535,672","0.57%","USA","Analyze"
"IAA","IAA, Inc.","Common stocks","Mid cap","Industrials","$7,371,119,560","0.00%","USA","Analyze"
"FRPT","Freshpet Inc","Common stocks","Mid cap","Consumer Staples","$7,356,582,685","0.00%","USA","Analyze"
"VMEO","Vimeo, Inc.","Common stocks","Mid cap","Communication Services","$7,348,281,374","0.00%","USA","Analyze"
"EXEL","Exelixis Inc","Common stocks","Mid cap","Health Care","$7,339,528,341","0.00%","USA","Analyze"
"CFR","Cullen Frost Bankers Inc","Common stocks","Mid cap","Financials","$7,331,220,800","2.47%","USA","Analyze"
"CASY","Caseys General Stores Inc","Common stocks","Mid cap","Consumer Staples","$7,276,747,101","0.67%","USA","Analyze"
"HOG","Harley Davidson Inc","Common stocks","Mid cap","Consumer Discretionary","$7,271,453,637","0.72%","USA","Analyze"
"CHNG","Change Healthcare Inc.","Common stocks","Mid cap","Health Care","$7,241,688,816","0.00%","USA","Analyze"
"COTY","Coty Inc Class A","Common stocks","Mid cap","Consumer Staples","$7,232,050,873","0.00%","USA","Analyze"
"AXTA","Axalta Coating Systems Ltd","Common stocks","Mid cap","Materials","$7,200,397,519","0.00%","USA","Analyze"
"TOL","Toll Brothers Inc","Common stocks","Mid cap","Consumer Discretionary","$7,122,496,480","0.86%","USA","Analyze"
"NVST","Envista Holdings Corporation","Common stocks","Mid cap","Health Care","$7,061,320,921","0.00%","USA","Analyze"
"BRKS","Brooks Automation Inc","Common stocks","Mid cap","Information Technology","$7,003,952,643","0.42%","USA","Analyze"
"PNFP","Pinnacle Financial Partners Inc","Common stocks","Mid cap","Financials","$6,998,448,045","0.56%","USA","Analyze"
"SHC","Sotera Health Co","Common stocks","Mid cap","Health Care","$6,998,202,736","0.00%","USA","Analyze"
"POST","Post Holdings Inc","Common stocks","Mid cap","Consumer Staples","$6,984,646,110","0.00%","USA","Analyze"
"BRX","Brixmor Property Group Inc","REITs","Mid cap","Real Estate","$6,954,185,966","1.83%","USA","Analyze"
"BEPC","Brookfield Renewable Corporation Class A","Common stocks","Mid cap","Utilities","$6,945,230,510","3.28%","Canada","Analyze"
"VAC","Marriott Vacations Worldwide Corp","Common stocks","Mid cap","Consumer Discretionary","$6,945,221,352","0.00%","USA","Analyze"
"SF","Stifel Financial Corp","Common stocks","Mid cap","Financials","$6,928,601,699","0.80%","USA","Analyze"
"LEG","Leggett & Platt Inc","Common stocks","Mid cap","Consumer Discretionary","$6,924,394,374","3.08%","USA","Analyze"
"FAF","First American Financial Corp","Common stocks","Mid cap","Financials","$6,904,913,976","2.86%","USA","Analyze"
"FR","First Industrial Realty Trust, Inc","REITs","Mid cap","Real Estate","$6,899,282,859","1.89%","USA","Analyze"
"AYI","Acuity Brands Inc","Common stocks","Mid cap","Industrials","$6,895,073,656","0.27%","USA","Analyze"
"OGE","OGE Energy Corp","Common stocks","Mid cap","Utilities","$6,881,981,467","4.55%","USA","Analyze"
"MAT","Mattel Inc","Common stocks","Mid cap","Consumer Discretionary","$6,874,371,590","0.00%","USA","Analyze"
"PB","Prosperity Bancshares Inc","Common stocks","Mid cap","Financials","$6,871,912,544","2.59%","USA","Analyze"
"LMND","Lemonade, Inc.","Common stocks","Mid cap","Financials","$6,871,715,888","0.00%","USA","Analyze"
"SNV","Synovus Financial Corp","Common stocks","Mid cap","Financials","$6,844,511,624","2.83%","USA","Analyze"
"BYD","Boyd Gaming Corp","Common stocks","Mid cap","Consumer Discretionary","$6,843,658,960","0.11%","USA","Analyze"
"DV","DoubleVerify Holdings, Inc.","Common stocks","Mid cap","Unknown","$6,841,426,166","0.00%","USA","Analyze"
"WH","Wyndham Hotels & Resorts Inc","Common stocks","Mid cap","Consumer Discretionary","$6,815,310,436","0.66%","USA","Analyze"
"JHG","Janus Henderson Group Plc","Common stocks","Mid cap","Financials","$6,763,013,568","3.68%","USA","Analyze"
"SKX","Skechers USA Inc","Common stocks","Mid cap","Consumer Discretionary","$6,740,812,182","0.00%","USA","Analyze"
"COLM","Columbia Sportswear","Common stocks","Mid cap","Consumer Discretionary","$6,735,193,068","0.51%","USA","Analyze"
"SON","Sonoco Products","Common stocks","Mid cap","Materials","$6,725,012,356","2.61%","USA","Analyze"
"COG","Cabot Oil & Gas Corp","Common stocks","Mid cap","Energy","$6,718,240,161","2.42%","USA","Analyze"
"MAN","Manpower Inc","Common stocks","Mid cap","Industrials","$6,688,125,061","1.97%","USA","Analyze"
"AA","Alcoa Corp","Common stocks","Mid cap","Materials","$6,684,745,871","1.01%","USA","Analyze"
"CHH","Choice Hotels International Inc","Common stocks","Mid cap","Consumer Discretionary","$6,683,950,766","0.00%","USA","Analyze"
"NCLH","Norwegian Cruise Line Holdings Ltd","Common stocks","Mid cap","Consumer Discretionary","$6,668,347,000","0.00%","USA","Analyze"
"ACC","American Campus Communities, Inc","REITs","Mid cap","Real Estate","$6,645,131,174","3.84%","USA","Analyze"
"DKS","Dicks Sporting Inc","Common stocks","Mid cap","Consumer Discretionary","$6,632,670,230","1.33%","USA","Analyze"
"SRCL","Stericycle Inc","Common stocks","Mid cap","Industrials","$6,629,708,913","0.00%","USA","Analyze"
"NXST","Nexstar Media Group Inc","Common stocks","Mid cap","Communication Services","$6,629,642,326","1.61%","USA","Analyze"
"SLM","Sallie Mae","Common stocks","Mid cap","Financials","$6,628,504,840","0.58%","USA","Analyze"
"HBI","Hanesbrands Inc","Common stocks","Mid cap","Consumer Discretionary","$6,601,772,989","3.13%","USA","Analyze"
"FL","Foot Locker Inc","Common stocks","Mid cap","Consumer Discretionary","$6,563,677,044","0.79%","USA","Analyze"
"AMG","Affiliated Managers Group Inc","Common stocks","Mid cap","Financials","$6,537,788,981","0.02%","USA","Analyze"
"DLB","Dolby Laboratories Inc Class A","Common stocks","Mid cap","Information Technology","$6,529,222,284","0.88%","USA","Analyze"
"PLNT","Planet Fitness Inc Class A","Common stocks","Mid cap","Consumer Discretionary","$6,501,336,075","0.00%","USA","Analyze"
"AZEK","The AZEK Company Inc. Class A","Common stocks","Mid cap","Industrials","$6,494,405,819","0.00%","USA","Analyze"
"COHR","Coherent Inc","Common stocks","Mid cap","Information Technology","$6,473,510,923","0.00%","USA","Analyze"
"MSA","MSA Safety Inc","Common stocks","Mid cap","Industrials","$6,448,115,068","1.05%","USA","Analyze"
"MDU","MDU Resources Group Inc","Common stocks","Mid cap","Utilities","$6,422,129,621","2.62%","USA","Analyze"
"FSLY","Fastly, Inc. Class A","Common stocks","Mid cap","Information Technology","$6,415,712,000","0.00%","USA","Analyze"
"SRPT","Sarepta Therapeutics Inc","Common stocks","Mid cap","Health Care","$6,413,875,830","0.00%","USA","Analyze"
"X","United States Steel Corporation","Common stocks","Mid cap","Materials","$6,374,793,841","0.17%","USA","Analyze"
"BLD","Topbuild Corp","Common stocks","Mid cap","Consumer Discretionary","$6,347,127,188","0.00%","USA","Analyze"
"RARE","Ultragenyx Pharmaceutical Inc","Common stocks","Mid cap","Health Care","$6,331,904,837","0.00%","USA","Analyze"
"BOKF","BOK Financial Corp","Common stocks","Mid cap","Financials","$6,308,203,502","2.26%","USA","Analyze"
"CFX","Colfax Corp","Common stocks","Mid cap","Industrials","$6,305,275,892","0.00%","USA","Analyze"
"BPOP","Popular Inc","Common stocks","Mid cap","Financials","$6,300,023,756","2.09%","USA","Analyze"
"SNX","Synnex Corp","Common stocks","Mid cap","Information Technology","$6,291,745,099","0.33%","USA","Analyze"
"REYN","Reynolds Consumer Products Inc.","Common stocks","Mid cap","Consumer Staples","$6,286,465,302","2.97%","USA","Analyze"
"TMX","Terminix Global Holdings, Inc.","Common stocks","Mid cap","Consumer Discretionary","$6,280,894,563","0.00%","USA","Analyze"
"LITE","Lumentum Holdings Inc","Common stocks","Mid cap","Information Technology","$6,272,376,000","0.00%","USA","Analyze"
"PRGO","Perrigo Plc","Common stocks","Mid cap","Health Care","$6,260,780,120","1.97%","USA","Analyze"
"HLF","Herbalife Ltd","Common stocks","Mid cap","Consumer Staples","$6,259,283,573","0.00%","USA","Analyze"
"AI","C3.ai, Inc. Class A","Common stocks","Mid cap","Information Technology","$6,250,241,951","0.00%","USA","Analyze"
"TNDM","Tandem Diabetes Care Inc","Common stocks","Mid cap","Health Care","$6,223,704,228","0.00%","USA","Analyze"
"DEI","Douglas Emmett, Inc","REITs","Mid cap","Real Estate","$6,195,868,934","3.13%","USA","Analyze"
"THO","Thor Industries Inc","Common stocks","Mid cap","Consumer Discretionary","$6,176,657,846","1.45%","USA","Analyze"
"LSTR","Landstar System Inc","Common stocks","Mid cap","Industrials","$6,168,416,342","0.52%","USA","Analyze"
"CDK","CDK Global Inc","Common stocks","Mid cap","Information Technology","$6,154,446,791","1.18%","USA","Analyze"
"EQT","EQT Corporation","Common stocks","Mid cap","Energy","$6,148,820,838","0.14%","USA","Analyze"
"TKR","Timken","Common stocks","Mid cap","Industrials","$6,134,905,610","1.43%","USA","Analyze"
"CACI","CACI International Inc","Common stocks","Mid cap","Industrials","$6,133,080,065","0.00%","USA","Analyze"
"HTA","Healthcare Trust of America, Inc","REITs","Mid cap","Real Estate","$6,129,328,949","4.47%","USA","Analyze"
"PRI","Primerica Inc","Common stocks","Mid cap","Financials","$6,127,870,380","1.11%","USA","Analyze"
"NOV","National Oilwell Varco Inc","Common stocks","Mid cap","Energy","$6,117,472,950","0.00%","USA","Analyze"
"NCR","NCR Corp","Common stocks","Mid cap","Information Technology","$6,099,940,000","0.00%","USA","Analyze"
"INGR","Ingredion Inc","Common stocks","Mid cap","Consumer Staples","$6,081,370,678","2.78%","USA","Analyze"
"LFUS","Littelfuse Inc","Common stocks","Mid cap","Information Technology","$6,075,700,311","0.77%","USA","Analyze"
"PAG","Penske Automotive Group Inc","Common stocks","Mid cap","Consumer Discretionary","$6,057,992,569","1.71%","USA","Analyze"
"EXP","Eagle Materials Inc","Common stocks","Mid cap","Materials","$6,055,034,133","0.17%","USA","Analyze"
"IBKR","Interactive Brokers Group Inc","Common stocks","Mid cap","Financials","$6,050,130,409","0.45%","USA","Analyze"
"VRM","Vroom, Inc.","Common stocks","Mid cap","Consumer Discretionary","$6,025,909,987","0.00%","USA","Analyze"
"UNM","Unum Group","Common stocks","Mid cap","Financials","$5,990,374,217","3.82%","USA","Analyze"
"VVV","Valvoline Inc","Common stocks","Mid cap","Materials","$5,966,505,009","1.47%","USA","Analyze"
"HUN","Huntsman Corp","Common stocks","Mid cap","Materials","$5,961,157,998","2.49%","USA","Analyze"
"NCNO","nCino, Inc.","Common stocks","Mid cap","Information Technology","$5,939,854,110","0.00%","USA","Analyze"
"LPX","Louisiana Pacific Corp","Common stocks","Mid cap","Materials","$5,937,850,002","1.05%","USA","Analyze"
"IART","Integra Lifesciences Holdings Corp","Common stocks","Mid cap","Health Care","$5,921,833,602","0.00%","USA","Analyze"
"ACHC","Acadia Healthcare Company Inc","Common stocks","Mid cap","Health Care","$5,883,294,347","0.00%","USA","Analyze"
"TFSL","TFS Financial Corp","Common stocks","Mid cap","Financials","$5,825,597,979","5.29%","USA","Analyze"
"OLLI","Ollies Bargain Outlet Holdings Inc","Common stocks","Mid cap","Consumer Discretionary","$5,801,854,755","0.00%","USA","Analyze"
"ESI","Element Solutions Inc.","Common stocks","Mid cap","Materials","$5,800,381,134","0.68%","USA","Analyze"
"JWN","Nordstrom Inc","Common stocks","Mid cap","Consumer Discretionary","$5,787,089,780","0.00%","USA","Analyze"
"CC","Chemours Company","Common stocks","Mid cap","Materials","$5,778,523,657","2.83%","USA","Analyze"
"DCT","Duck Creek Technologies","Common stocks","Mid cap","Information Technology","$5,764,911,549","0.00%","USA","Analyze"
"COR","CoreSite Realty Corporation","REITs","Mid cap","Real Estate","$5,749,223,153","3.61%","USA","Analyze"
"SLG","SL Green Realty Corp","REITs","Mid cap","Real Estate","$5,721,702,360","4.27%","USA","Analyze"
"HAYW","Hayward Holdings, Inc.","Common stocks","Mid cap","Consumer Discretionary","$5,715,134,086","0.00%","USA","Analyze"
"ADPT","Adaptive Biotechnologies Corporation","Common stocks","Mid cap","Health Care","$5,669,973,208","0.00%","USA","Analyze"
"PSTG","Pure Storage Inc Class A","Common stocks","Mid cap","Information Technology","$5,665,098,120","0.00%","USA","Analyze"
"EVR","Evercore Inc. Class A","Common stocks","Mid cap","Financials","$5,646,993,830","1.35%","USA","Analyze"
"NATI","National Instruments Corp","Common stocks","Mid cap","Information Technology","$5,643,309,704","2.45%","USA","Analyze"
"BWXT","BWX Technologies Inc","Common stocks","Mid cap","Industrials","$5,639,967,668","1.34%","USA","Analyze"
"CUZ","Cousins Properties Incorporated","REITs","Mid cap","Real Estate","$5,639,906,543","3.15%","USA","Analyze"
"PPC","Pilgrims Pride Corp","Common stocks","Mid cap","Consumer Staples","$5,635,996,037","0.00%","USA","Analyze"
"HFC","HollyFrontier Corp","Common stocks","Mid cap","Energy","$5,635,147,219","2.99%","USA","Analyze"
"SRC","Spirit Realty Capital, Inc","REITs","Mid cap","Real Estate","$5,615,880,120","5.00%","USA","Analyze"
"TDC","Teradata Corp","Common stocks","Mid cap","Information Technology","$5,613,712,000","0.00%","USA","Analyze"
"VNT","Vontier Corporation","Common stocks","Mid cap","Information Technology","$5,531,509,051","0.08%","USA","Analyze"
"HHC","Howard Hughes Corp","Common stocks","Mid cap","Real Estate","$5,488,424,818","0.00%","USA","Analyze"
"IONS","Ionis Pharmaceuticals Inc","Common stocks","Mid cap","Health Care","$5,487,690,680","0.00%","USA","Analyze"
"SWI","Solarwinds Corporation","Common stocks","Mid cap","Information Technology","$5,467,239,519","0.00%","USA","Analyze"
"QRTEA","Qurate Retail, Inc. Series A","Common stocks","Mid cap","Consumer Discretionary","$5,445,324,662","0.00%","USA","Analyze"
"JBLU","Jetblue Airways Corp","Common stocks","Mid cap","Industrials","$5,439,821,701","0.00%","USA","Analyze"
"ADS","Alliance Data Systems Corp","Common stocks","Mid cap","Information Technology","$5,412,417,996","0.77%","USA","Analyze"
"ASH","Ashland Global Inc","Common stocks","Mid cap","Materials","$5,382,451,074","1.26%","USA","Analyze"
"HXL","Hexcel Corp","Common stocks","Mid cap","Industrials","$5,379,876,629","0.00%","USA","Analyze"
"CR","Crane","Common stocks","Mid cap","Industrials","$5,379,426,074","1.86%","USA","Analyze"
"RBC","Regal Beloit Corp","Common stocks","Mid cap","Industrials","$5,369,649,566","0.68%","USA","Analyze"
"FLS","Flowserve Corp","Common stocks","Mid cap","Industrials","$5,366,380,101","1.93%","USA","Analyze"
"MDLA","Medallia, Inc.","Common stocks","Mid cap","Information Technology","$5,365,110,830","0.00%","USA","Analyze"
"SAIC","Science Applications International","Common stocks","Mid cap","Industrials","$5,323,551,418","1.60%","USA","Analyze"
"NVT","Nvent Electric Plc","Common stocks","Mid cap","Industrials","$5,298,618,954","2.19%","USA","Analyze"
"AYX","Alteryx Inc Class A","Common stocks","Mid cap","Information Technology","$5,294,925,290","0.00%","USA","Analyze"
"NYCB","New York Community Bancorp","Common stocks","Mid cap","Financials","$5,283,087,564","5.84%","USA","Analyze"
"TRIP","TripAdvisor Inc","Common stocks","Mid cap","Communication Services","$5,258,525,489","20.85%","USA","Analyze"
"GTES","Gates Industrial Corporation Plc","Common stocks","Mid cap","Industrials","$5,251,967,816","0.00%","USA","Analyze"
"SPR","Spirit Aerosystems Inc","Common stocks","Mid cap","Industrials","$5,249,896,229","0.08%","USA","Analyze"
"DSEY","Diversey Holdings, Ltd.","Common stocks","Mid cap","Materials","$5,241,665,192","0.00%","USA","Analyze"
"LESL","Leslies, Inc.","Common stocks","Mid cap","Consumer Discretionary","$5,228,039,713","0.00%","USA","Analyze"
"EVBG","Everbridge Inc","Common stocks","Mid cap","Information Technology","$5,214,817,171","0.00%","USA","Analyze"
"TNL","Travel & Leisure Co.","Common stocks","Mid cap","Consumer Discretionary","$5,197,697,393","1.98%","USA","Analyze"
"LAZ","Lazard, LTD.","Common stocks","Mid cap","Financials","$5,187,240,186","3.01%","USA","Analyze"
"OZK","Bank of the Ozarks","Common stocks","Mid cap","Financials","$5,182,835,056","1.93%","USA","Analyze"
"ALGM","Allegro MicroSystems, Inc.","Common stocks","Mid cap","Information Technology","$5,179,687,399","0.00%","USA","Analyze"
"WBS","Webster Financial Corp","Common stocks","Mid cap","Financials","$5,170,226,293","2.76%","USA","Analyze"
"DRVN","Driven Brands Holdings Inc.","Common stocks","Mid cap","Industrials","$5,164,655,264","0.00%","USA","Analyze"
"GPK","Graphic Packaging Holding","Common stocks","Mid cap","Materials","$5,135,525,930","1.65%","USA","Analyze"
"WEN","Wendys","Common stocks","Mid cap","Consumer Discretionary","$5,128,896,302","1.33%","USA","Analyze"
"FLO","Flowers Foods Inc","Common stocks","Mid cap","Consumer Staples","$5,117,237,619","3.31%","USA","Analyze"
"WOOF","Petco Health and Wellness Company, Inc. - Class A","Common stocks","Mid cap","Consumer Discretionary","$5,109,376,212","0.00%","USA","Analyze"
"PK","Park Hotels & Resorts Inc","REITs","Mid cap","Real Estate","$5,094,005,628","0.00%","USA","Analyze"
"SGFY","Signify Health, Inc.","Common stocks","Mid cap","Health Care","$5,092,175,022","0.00%","USA","Analyze"
"AL","Air Lease Corp","Common stocks","Mid cap","Industrials","$5,075,113,313","1.41%","USA","Analyze"
"AWI","Armstrong World Industries Inc","Common stocks","Mid cap","Industrials","$5,071,245,584","0.78%","USA","Analyze"
"QDEL","Quidel Corp","Common stocks","Mid cap","Health Care","$5,067,376,677","0.00%","USA","Analyze"
"IDA","IDACORP, Inc.","Common stocks","Mid cap","Utilities","$5,053,063,264","2.77%","USA","Analyze"
"CLH","Clean Harbors Inc","Common stocks","Mid cap","Industrials","$5,047,798,621","0.00%","USA","Analyze"
"STL","Sterling Bancorp","Common stocks","Mid cap","Financials","$5,042,249,569","1.06%","USA","Analyze"
"PACW","Pacwest Bancorp","Common stocks","Mid cap","Financials","$5,039,099,469","2.30%","USA","Analyze"
"NRZ","New Residential Investment Corp","Mortgage REITs","Mid cap","Financials","$5,016,458,077","5.91%","USA","Analyze"
"VMI","Valmont Inds Inc","Common stocks","Mid cap","Industrials","$5,013,342,394","0.80%","USA","Analyze"
"CW","Curtiss Wright Corp","Common stocks","Mid cap","Industrials","$4,997,739,485","0.43%","USA","Analyze"
"RYN","Rayonier Inc","REITs","Mid cap","Real Estate","$4,978,662,187","2.98%","USA","Analyze"
"FEYE","Fireeye Inc","Common stocks","Mid cap","Information Technology","$4,966,817,182","0.00%","USA","Analyze"
"THG","Hanover Insurance Group Inc","Common stocks","Mid cap","Financials","$4,959,508,520","1.97%","USA","Analyze"
"NFG","National Fuel Gas","Common stocks","Mid cap","Utilities","$4,911,473,403","3.26%","USA","Analyze"
"MRVI","Maravai LifeSciences Holdings, Inc","Common stocks","Mid cap","Health Care","$4,882,803,542","0.00%","USA","Analyze"
"HIW","Highwoods Properties, Inc","REITs","Mid cap","Real Estate","$4,844,835,068","4.05%","USA","Analyze"
"SEB","Seaboard Corp","Common stocks","Mid cap","Consumer Staples","$4,809,641,355","0.22%","USA","Analyze"
"MTG","MGIC Investment Corp","Common stocks","Mid cap","Financials","$4,808,102,435","1.69%","USA","Analyze"
"KMPR","Kemper Corp","Common stocks","Mid cap","Financials","$4,772,110,458","1.64%","USA","Analyze"
"FCN","FTI Consulting Inc","Common stocks","Mid cap","Industrials","$4,729,379,929","0.00%","USA","Analyze"
"CRUS","Cirrus Logic Inc","Common stocks","Mid cap","Information Technology","$4,718,807,824","0.00%","USA","Analyze"
"RETA","Reata Pharmaceuticals Inc Class A","Common stocks","Mid cap","Health Care","$4,703,679,584","0.00%","USA","Analyze"
"MCFE","McAfee Corp.","Common stocks","Mid cap","Information Technology","$4,685,211,225","1.11%","USA","Analyze"
"HE","Hawaiian Electric Industries Inc","Common stocks","Mid cap","Utilities","$4,675,151,530","3.09%","USA","Analyze"
"XRX","Xerox Corp","Common stocks","Mid cap","Information Technology","$4,670,078,855","4.04%","USA","Analyze"
"FROG","JFrog Ltd","Common stocks","Mid cap","Information Technology","$4,648,732,705","0.00%","USA","Analyze"
"CRI","Carters Inc","Common stocks","Mid cap","Consumer Discretionary","$4,637,010,955","0.38%","USA","Analyze"
"SLGN","Silgan Holdings Inc","Common stocks","Mid cap","Materials","$4,597,029,392","1.24%","USA","Analyze"
"GRA","W.R. Grace","Common stocks","Mid cap","Materials","$4,576,660,666","1.34%","USA","Analyze"
"MSP","Datto Holding Corp.","Common stocks","Mid cap","Information Technology","$4,541,524,360","8.90%","USA","Analyze"
"WTFC","Wintrust Financial Corp","Common stocks","Mid cap","Financials","$4,507,845,436","1.48%","USA","Analyze"
"NEWR","New Relic Inc","Common stocks","Mid cap","Information Technology","$4,436,249,502","0.00%","USA","Analyze"
"ICUI","ICU Medical Inc","Common stocks","Mid cap","Health Care","$4,435,569,381","0.00%","USA","Analyze"
"ALSN","Allison Transmission Holdings Inc","Common stocks","Mid cap","Industrials","$4,415,751,533","1.77%","USA","Analyze"
"BIGC","BigCommerce Holdings, Inc. - Series 1","Common stocks","Mid cap","Information Technology","$4,367,514,861","0.00%","USA","Analyze"
"JBGS","JBG Smith Properties","REITs","Mid cap","Real Estate","$4,361,826,772","2.68%","USA","Analyze"
"HRB","H&R Block Inc","Common stocks","Mid cap","Consumer Discretionary","$4,358,813,392","4.29%","USA","Analyze"
"COMM","Commscope Holding Inc","Common stocks","Mid cap","Information Technology","$4,355,038,626","0.00%","USA","Analyze"
"HPP","Hudson Pacific Properties, Inc","REITs","Mid cap","Real Estate","$4,354,949,477","3.42%","USA","Analyze"
"UNVR","Univar Solutions, Inc.","Common stocks","Mid cap","Industrials","$4,343,125,836","0.00%","USA","Analyze"
"CERT","Certara, Inc.","Common stocks","Mid cap","Health Care","$4,332,378,845","0.00%","USA","Analyze"
"PINC","Premier Inc Class A","Common stocks","Mid cap","Health Care","$4,301,440,693","2.14%","USA","Analyze"
"FTDR","Frontdoor Inc","Common stocks","Mid cap","Consumer Discretionary","$4,296,250,513","0.00%","USA","Analyze"
"AXS","Axis Capital Holdings Ltd","Common stocks","Mid cap","Financials","$4,288,864,551","2.45%","USA","Analyze"
"FOUR","Shift4 Payments, Inc. Class A","Common stocks","Mid cap","Information Technology","$4,250,789,299","0.00%","USA","Analyze"
"MSM","MSC Industrial Inc Class A","Common stocks","Mid cap","Industrials","$4,227,548,394","3.23%","USA","Analyze"
"SABR","Sabre Corp","Common stocks","Mid cap","Information Technology","$4,204,139,647","0.00%","USA","Analyze"
"ACAD","Acadia Pharmaceuticals Inc","Common stocks","Mid cap","Health Care","$4,191,885,372","0.00%","USA","Analyze"
"LOPE","Grand Canyon Education Inc","Common stocks","Mid cap","Consumer Discretionary","$4,190,961,259","0.00%","USA","Analyze"
"UMPQ","Umpqua Holdings Corp","Common stocks","Mid cap","Financials","$4,176,396,286","4.36%","USA","Analyze"
"LGF.A","Lions Gate Entertainment Corporation  Class A","Common stocks","Mid cap","Communication Services","$4,140,146,163","0.00%","USA","Analyze"
"LGF.B","Lions Gate Entertainment Corporation Class B Non-Voting","Common stocks","Mid cap","Communication Services","$4,140,146,163","0.00%","USA","Analyze"
"WRI","Weingarten Realty Investors","REITs","Mid cap","Real Estate","$4,132,554,845","2.70%","USA","Analyze"
"IOVA","Iovance Biotherapeutics Inc","Common stocks","Mid cap","Health Care","$4,131,516,092","0.00%","USA","Analyze"
"FNB","FNB Corp","Common stocks","Mid cap","Financials","$4,072,163,111","3.71%","USA","Analyze"
"JAMF","Jamf Holding Corp.","Common stocks","Mid cap","Information Technology","$4,068,206,312","2.88%","USA","Analyze"
"R","Ryder System Inc","Common stocks","Mid cap","Industrials","$4,054,285,326","2.21%","USA","Analyze"
"HAIN","Hain Celestial Group Inc","Common stocks","Mid cap","Consumer Staples","$4,045,651,557","0.00%","USA","Analyze"
"EPR","EPR Properties","REITs","Mid cap","Real Estate","$4,023,291,855","0.71%","USA","Analyze"
"AVT","Avnet Inc","Common stocks","Mid cap","Information Technology","$4,013,912,657","2.09%","USA","Analyze"
"BHF","Brighthouse Financial","Common stocks","Mid cap","Financials","$3,993,709,164","0.00%","USA","Analyze"
"ANAT","American National Insurance","Common stocks","Mid cap","Financials","$3,939,243,672","2.21%","USA","Analyze"
"MUR","Murphy Oil Corp","Common stocks","Mid cap","Energy","$3,904,771,245","1.95%","USA","Analyze"
"ALKS","Alkermes PLC","Common stocks","Mid cap","Health Care","$3,871,705,529","0.00%","USA","Analyze"
"MRCY","Mercury Systems Inc","Common stocks","Mid cap","Industrials","$3,853,217,050","0.00%","USA","Analyze"
"FHB","First Hawaiian Inc","Common stocks","Mid cap","Financials","$3,838,131,396","3.48%","USA","Analyze"
"SIX","Six Flags Entertainment Corp","Common stocks","Mid cap","Consumer Discretionary","$3,829,820,750","0.00%","USA","Analyze"
"KEX","Kirby Corp","Common stocks","Mid cap","Industrials","$3,815,465,400","0.00%","USA","Analyze"
"VSAT","Viasat Inc","Common stocks","Mid cap","Information Technology","$3,800,555,546","0.00%","USA","Analyze"
"PD","PagerDuty, Inc.","Common stocks","Mid cap","Information Technology","$3,773,084,124","0.00%","USA","Analyze"
"ETRN","Equitrans Midstream Corporation","Common stocks","Mid cap","Energy","$3,749,757,660","6.72%","USA","Analyze"
"AGO","Assured Guaranty Ltd","Common stocks","Mid cap","Financials","$3,646,572,791","1.72%","USA","Analyze"
"SPB","Spectrum Brands Holdings Inc","Common stocks","Mid cap","Consumer Staples","$3,642,202,023","1.95%","USA","Analyze"
"NEU","Newmarket Corp","Common stocks","Mid cap","Materials","$3,617,000,411","2.28%","USA","Analyze"
"HP","Helmerich & Payne Inc","Common stocks","Mid cap","Energy","$3,609,054,233","2.95%","USA","Analyze"
